news_headline,news_article,news_category,full_text,clean_text
World's cheapest phone 'Freedom 251' maker's founder arrested,"The maker of world's cheapest smartphone 'Freedom 251' priced at ₹251, Ringing Bells' founder Mohit Goel was arrested along with two more people by the Delhi Police on Sunday. The three were allegedly trying to extort money in lieu of settling a rape case. Last year, Goel was arrested over allegations of fraud and an alleged non-payment of ₹16 lakh.",technology,"World's cheapest phone 'Freedom 251' maker's founder arrested. The maker of world's cheapest smartphone 'Freedom 251' priced at ₹251, Ringing Bells' founder Mohit Goel was arrested along with two more people by the Delhi Police on Sunday. The three were allegedly trying to extort money in lieu of settling a rape case. Last year, Goel was arrested over allegations of fraud and an alleged non-payment of ₹16 lakh.",world cheapest phone freedom maker founder arrest maker world cheapest smartphone freedom price ring bell founder mohit goel arrest along two people delhi police sunday three allegedly try extort money lieu settle rape case last year goel arrest allegation fraud alleged non payment lakh
"US unveils world's most powerful supercomputer, beats China","The US has unveiled the world's most powerful supercomputer called 'Summit', beating the previous record-holder China's Sunway TaihuLight. With a peak performance of 200,000 trillion calculations per second, it is over twice as fast as Sunway TaihuLight, which is capable of 93,000 trillion calculations per second. Summit has 4,608 servers, which reportedly take up the size of two tennis courts.",technology,"US unveils world's most powerful supercomputer, beats China. The US has unveiled the world's most powerful supercomputer called 'Summit', beating the previous record-holder China's Sunway TaihuLight. With a peak performance of 200,000 trillion calculations per second, it is over twice as fast as Sunway TaihuLight, which is capable of 93,000 trillion calculations per second. Summit has 4,608 servers, which reportedly take up the size of two tennis courts.",us unveils world powerful supercomputer beat china us unveil world powerful supercomputer call summit beat previous record holder china sunway taihulight peak performance trillion calculation per second twice fast sunway taihulight capable trillion calculation per second summit server reportedly take size two tennis court
FB bug changed 1.4 cr users’ privacy setting to ‘public’,"Facebook has said it recently found a bug that automatically suggested posting publicly when people were creating their posts, potentially causing them to post friends-only content to the public. The bug, which was active between May 18 and 27, affected 1.4 crore users. Apologising for the error, Facebook said it’s asking users to review posts they made during that time.",technology,"FB bug changed 1.4 cr users’ privacy setting to ‘public’. Facebook has said it recently found a bug that automatically suggested posting publicly when people were creating their posts, potentially causing them to post friends-only content to the public. The bug, which was active between May 18 and 27, affected 1.4 crore users. Apologising for the error, Facebook said it’s asking users to review posts they made during that time.",fb bug change cr user privacy set public facebook say recently find bug automatically suggest post publicly people create post potentially cause post friend content public bug active may affect crore user apologise error facebook say asking user review post make time
Contest for 1st couple to marry in self-driving car launched,The American Automobile Association has launched a contest to find the first couple to get married in one of its self-driving shuttles in Las Vegas. The contestants will have to write a 400-word essay describing how an autonomous vehicle would have changed their road trip experience with their partner. The winning couple will be married on June 30.,technology,Contest for 1st couple to marry in self-driving car launched. The American Automobile Association has launched a contest to find the first couple to get married in one of its self-driving shuttles in Las Vegas. The contestants will have to write a 400-word essay describing how an autonomous vehicle would have changed their road trip experience with their partner. The winning couple will be married on June 30.,cont st couple marry self drive car launch american automobile association launch contest find first couple get marry one self drive shuttle las vegas contestant write word essay describe autonomous vehicle would change road trip experience partner win couple marry june
China's ZTE to pay $1 billion fine to US to lift sanctions,"Chinese telecommunications equipment maker ZTE has agreed to a $1 billion fine to end US sanctions against it. The US blocked ZTE's access to US suppliers in April after an investigation found that ZTE had been shipping gear to Iran and North Korea illegally. Further, ZTE will have to install a new board of directors within the next 30 days.",technology,"China's ZTE to pay $1 billion fine to US to lift sanctions. Chinese telecommunications equipment maker ZTE has agreed to a $1 billion fine to end US sanctions against it. The US blocked ZTE's access to US suppliers in April after an investigation found that ZTE had been shipping gear to Iran and North Korea illegally. Further, ZTE will have to install a new board of directors within the next 30 days.",china zte pay billion fine us lift sanction chinese telecommunications equipment maker zte agree billion fine end us sanction us block zte access us supplier april investigation found zte shipping gear iran north korea illegally zte install new board director within next day
Android Co-founder's startup unveils magnetic headphone jack,"Android Co-founder Andy Rubin's startup Essential has unveiled its first attachment module, a magnetic 3.5-mm headphone jack dongle, since the launch of its phone almost a year ago. Essential pointed out that one could finally charge the phone while simultaneously listening to music. The Audio Adapter HD would likely be released this summer, although its cost was not revealed yet.",technology,"Android Co-founder's startup unveils magnetic headphone jack. Android Co-founder Andy Rubin's startup Essential has unveiled its first attachment module, a magnetic 3.5-mm headphone jack dongle, since the launch of its phone almost a year ago. Essential pointed out that one could finally charge the phone while simultaneously listening to music. The Audio Adapter HD would likely be released this summer, although its cost was not revealed yet.",android co founder startup unveils magnetic headphone jack android co founder andy rubin startup essential unveil first attachment module magnetic mm headphone jack dongle since launch phone almost year ago essential point one could finally charge phone simultaneously listening music audio adapter hd would likely release summer although cost not reveal yet
Yahoo Messenger to shut down 20 years after launch,"Yahoo has announced it is discontinuing its Messenger service after 20 years, from July 17, after which users won't be able to login. However, users can download their chat history from the company's website till six months. ""If you're looking for a Messenger replacement, Yahoo recommends the product Squirrel, which is currently in beta and invite only,"" the company said.",technology,"Yahoo Messenger to shut down 20 years after launch. Yahoo has announced it is discontinuing its Messenger service after 20 years, from July 17, after which users won't be able to login. However, users can download their chat history from the company's website till six months. ""If you're looking for a Messenger replacement, Yahoo recommends the product Squirrel, which is currently in beta and invite only,"" the company said.",yahoo messenger shut year launch yahoo announced discontinue messenger service year july user not able login however user download chat history company website till six month look messenger replacement yahoo recommend product squirrel currently beta invite company say
"Google won't design AI for weapons, surveillance: CEO Pichai","Google CEO Sundar Pichai has clarified the company is not developing artificial intelligence (AI) for use in weapons, as it ""could directly facilitate injury to people."" Google will not design AI for surveillance technologies which violate internationally accepted norms, however, it will continue to work with governments in areas like cybersecurity, training and military recruitment, added Pichai.",technology,"Google won't design AI for weapons, surveillance: CEO Pichai. Google CEO Sundar Pichai has clarified the company is not developing artificial intelligence (AI) for use in weapons, as it ""could directly facilitate injury to people."" Google will not design AI for surveillance technologies which violate internationally accepted norms, however, it will continue to work with governments in areas like cybersecurity, training and military recruitment, added Pichai.",google not design ai weapon surveillance ceo pichai google ceo sundar pichai clarify company not develop artificial intelligence ai use weapon could directly facilitate injury people google not design ai surveillance technology violate internationally accept norm however continue work government area like cybersecurity training military recruitment add pichai
Virgin Hyperloop One may allow riders to see through tubes ,"Richard Branson-led Virgin Hyperloop One has shared a video demonstrating a concept to allow riders to see through Hyperloop tubes. In the video, the tube through which the 'pod' moves, is shown to have windows placed at every 10 metres. As the pod will gain speed, the windows will pass quicker and smoothen out while reaching 1,200 kmph target speed.",technology,"Virgin Hyperloop One may allow riders to see through tubes . Richard Branson-led Virgin Hyperloop One has shared a video demonstrating a concept to allow riders to see through Hyperloop tubes. In the video, the tube through which the 'pod' moves, is shown to have windows placed at every 10 metres. As the pod will gain speed, the windows will pass quicker and smoothen out while reaching 1,200 kmph target speed.",virgin hyperloop one may allow rider see tube richard branson lead virgin hyperloop one share video demonstrating concept allow rider see hyperloop tube video tube pod move shown window place every metre pod gain speed window pass quicker smoothen reach kmph target speed
Apple patents wearable device to monitor blood pressure,"Apple has been granted the patent for a wearable 'cuff' that would measure users' blood pressure. The blood pressure measurement system comprises a pressure sensor and a collection of airbags, or 'cells' that will exert pressure on the wearer's arm to measure the same. It will also have an actuator to measure the pressure required to get the reading.",technology,"Apple patents wearable device to monitor blood pressure. Apple has been granted the patent for a wearable 'cuff' that would measure users' blood pressure. The blood pressure measurement system comprises a pressure sensor and a collection of airbags, or 'cells' that will exert pressure on the wearer's arm to measure the same. It will also have an actuator to measure the pressure required to get the reading.",apple patent wearable device monitor blood pressure apple grant patent wearable cuff would measure user blood pressure blood pressure measurement system comprise pressure sensor collection airbag cell exert pressure wearer arm measure also actuator measure pressure require get reading
