ID.x,Age,ChildrenNumber,CountryCitizen,EmploymentField,EmploymentStatus,ExpectedEarning,Gender,Income,JobPref,JobRoleInterest,LanguageAtHome,MaritalStatus,SchoolDegree,StudentDebtOwe
cef35615d61b202f1dc794ef2746df14,28,NA,United States of America,office and administrative support,Employed for wages,NA,male,32000,freelance ,NA,English,married or domestic partnership,"some college credit, no degree",20000
323e5a113644d18185c743c241407754,22,NA,United States of America,food and beverage,Employed for wages,50000,male,15000,work for a startup,  Front-End Web Developer,English,NA,"some college credit, no degree",NA
b29a1027e5cd062e654a63764157461d,19,NA,United States of America,finance,Employed for wages,NA,male,48000,start your own business,NA,English,NA,high school diploma or equivalent (GED),NA
04a11e4bcb573a1261eb0d9948d32637,26,NA,United States of America,"arts, entertainment, sports, or media",Employed for wages,65000,female,43000,work for a startup,  Front-End Web Developer,English,NA,bachelor's degree,7000
9368291c93d5d5f5c8cdb1a575e18bec,20,NA,United States of America,education,Employed for wages,45000,female,6000,work for a medium-sized company,Full-Stack Web Developer,Khmer,NA,"some college credit, no degree",NA
dd0e77eab9270e4b67c19b0d6bbf621b,34,NA,United States of America,finance,Self-employed freelancer,NA,male,40000,start your own business,NA,English,NA,bachelor's degree,NA
7599c0aa0419b59fd11ffede98a3665d,23,NA,Singapore,software development,Employed for wages,NA,male,32000,NA,NA,Mandarin Chinese,NA,bachelor's degree,NA
6dff182db452487f07a47596f314bddc,35,NA,India,office and administrative support,Employed for wages,NA,male,40000,freelance ,NA,Telugu,married or domestic partnership,master's degree (non-professional),NA
9dc233f8ed1c6eb2432672ab4bb39249,33,NA,United States of America,software development,Employed for wages,NA,male,80000,NA,NA,English,NA,bachelor's degree,NA
265fa78a1fb2409ff5416aec3c4f950d,33,NA,United States of America,NA,Employed for wages,NA,male,80000,start your own business,NA,English,NA,master's degree (non-professional),180000
3b461f95fe50be35b927c255b3f7dc3a,57,NA,United States of America,NA,Self-employed business owner,NA,male,20000,freelance ,NA,English,married or domestic partnership,bachelor's degree,NA
e786f1288887afb309eb913d28ffd6b0,23,NA,Bangladesh,NA,Not working and not looking for work,NA,male,NA,start your own business,NA,Bengali,NA,"some college credit, no degree",NA
10c74fd18bddfb3e26c1878a8583e7f8,47,NA,Canada,health care,Employed for wages,NA,male,90000,freelance ,NA,English,NA,bachelor's degree,NA
13b67c51d575bf29827debf06168b445,NA,NA,United States of America,software development,Employed for wages,NA,male,NA,freelance ,NA,English,NA,bachelor's degree,12000
1f641566628797bf0f811701e818ab2c,37,1,Bosnia & Herzegovina,sales,Self-employed business owner,NA,male,NA,start your own business,NA,Serbo-Croatian,married or domestic partnership,"some college credit, no degree",NA
1ae10dc0d6fed06e8954af5f313cedf1,31,NA,Russia,software development,Employed for wages,NA,female,NA,NA,NA,Russian,NA,"professional degree (MBA, MD, JD, etc.)",NA
7dfbad6a32c7477604dea655327f20a2,27,NA,United States of America,software development,Employed for wages,NA,female,80000,NA,NA,English,NA,bachelor's degree,NA
b953218838a2f7057ec179cae0cf83ad,29,NA,United States of America,education,Employed for wages,NA,male,17000,freelance ,NA,English,NA,bachelor's degree,NA
87fcfe4315ee8a3fb554d8bf608cb2ac,30,NA,Canada,software development,Self-employed freelancer,NA,male,16000,NA,NA,English,NA,bachelor's degree,NA
9b4935e514bdc9b66a35a085c229775c,30,NA,Croatia,NA,Not working but looking for work,75000,male,NA,work for a medium-sized company,Full-Stack Web Developer,Serbo-Croatian,"single, never married","some college credit, no degree",NA
8cf2a0f6b368a4a42572f775df0f5f90,32,1,United States of America,NA,Employed for wages,75000,female,200000,work for a medium-sized company,Full-Stack Web Developer,English,married or domestic partnership,master's degree (non-professional),NA
b3d1716309461078c892edcd68db7d4c,25,NA,India,NA,Doing an unpaid internship,NA,female,NA,NA,NA,Hindi,NA,bachelor's degree,NA
be38b0df499caf723af579aa6b173b0a,29,NA,Singapore,"arts, entertainment, sports, or media",Employed for wages,NA,female,100000,NA,NA,English,"single, never married",bachelor's degree,NA
97d2a0572f74acd8c4683ce7b72039db,44,NA,United States of America,office and administrative support,Employed for wages,NA,female,41000,freelance ,NA,English,married or domestic partnership,bachelor's degree,50000
4bfe54e669aa8eaf4c9db1b809f3b511,21,NA,India,NA,Not working but looking for work,NA,male,NA,start your own business,NA,Hindi,NA,bachelor's degree,NA
36f9d95975bfd2c89cfe75baca2d58d2,21,NA,United States of America,NA,Not working but looking for work,75000,male,NA,work for a medium-sized company,Full-Stack Web Developer,English,NA,"some college credit, no degree",40000
e886db962a67fdf6cddbd4e85ea5d6e6,28,NA,South Africa,NA,Self-employed freelancer,NA,male,12000,start your own business,NA,English,"single, never married",high school diploma or equivalent (GED),NA
212332278cfd07d49c4df986e6fbda1e,28,2,United States of America,software development,Employed for wages,NA,male,60000,NA,NA,English,married or domestic partnership,"trade, technical, or vocational training",NA
fb120d2658407cbedfd9f1136c94ac61,25,NA,United States of America,software development,Employed for wages,90000,male,75000,work for a startup,Full-Stack Web Developer,English,NA,bachelor's degree,NA
df891ef669fb23701f6622f14843bda2,35,1,United Kingdom,software development,Employed for wages,NA,male,35000,NA,NA,English,married or domestic partnership,master's degree (non-professional),NA
4ca7bc0dd8354763eb7a46e70d63929f,24,NA,United States of America,NA,Doing an unpaid internship,NA,female,NA,freelance ,NA,English,NA,"some college credit, no degree",NA
e80bf5150e2756c880019188d603afd9,23,NA,Venezuela,NA,A stay-at-home parent or homemaker,20000,male,NA,work for a medium-sized company,Full-Stack Web Developer,Spanish,NA,"some college credit, no degree",NA
e425871622d7541328a1e89098b0aba2,34,NA,Spain,NA,Doing an unpaid internship,40000,male,NA,work for a medium-sized company,Full-Stack Web Developer,Spanish,NA,bachelor's degree,NA
9a63dd965cb220f67e07def9911c0c50,18,NA,United States of America,NA,Employed for wages,35000,female,6000,work for a medium-sized company,  Front-End Web Developer,English,NA,high school diploma or equivalent (GED),NA
f1062e9ef6876d948546b74e6418b21a,33,NA,United States of America,health care,Employed for wages,NA,female,40000,freelance ,NA,English,NA,bachelor's degree,44000
d584425268aa1d6a622e2553b5a6530d,28,NA,Brazil,office and administrative support,Employed for wages,NA,male,6500,start your own business,NA,Portuguese,NA,high school diploma or equivalent (GED),NA
b67cc9e85e9d9804bf5c4454865b5a73,33,NA,New Zealand,NA,Self-employed freelancer,40000,male,60000,work for a medium-sized company,Full-Stack Web Developer,English,married or domestic partnership,high school diploma or equivalent (GED),NA
92800ffad18a940605890937ce3434a4,26,NA,United States of America,finance,Employed for wages,NA,male,29000,freelance ,NA,English,NA,"some college credit, no degree",NA
817c45e73fb23e512083696d65e76d98,24,NA,South Africa,software development,Employed for wages,NA,male,10000,NA,NA,English,NA,bachelor's degree,NA
bc7a311225558732449b948a4fc891b4,39,NA,United States of America,law enforcement and fire and rescue,Employed for wages,75000,male,53000,work for a medium-sized company,Full-Stack Web Developer,English,NA,associate's degree,70000
5c1dc917ad04443cdf1b8c9ca43c8de8,24,NA,Brazil,NA,Not working but looking for work,40000,male,NA,work for a startup,Full-Stack Web Developer,Portuguese,NA,high school diploma or equivalent (GED),NA
