antecedent,consequent,confidence,coverage,leverage,lift,strength,support
"ASSORTED COLOUR BIRD ORNAMENT, JUMBO BAG PINK POLKADOT",JUMBO BAG RED RETROSPOT,0.6075949367088608,0.0318484176577303,-0.0024377201230269354,0.8881197645882906,21.481012658227847,48
"ASSORTED COLOUR BIRD ORNAMENT, JUMBO BAG RED RETROSPOT",LUNCH BAG RED RETROSPOT,0.4,0.04837734327756501,-0.0048523616236477215,0.7995165189363417,10.341666666666667,48
"ASSORTED COLOUR BIRD ORNAMENT, JUMBO SHOPPER VINTAGE RED PAISLEY",JUMBO BAG RED RETROSPOT,0.5104166666666666,0.038701874622052004,-0.006723274030889842,0.7460745678648595,17.677083333333332,49
"HEART OF WICKER SMALL, JUMBO BAG PINK POLKADOT",JUMBO BAG RED RETROSPOT,0.7534246575342466,0.06208425720620843,0.002039126309991162,1.1012786464429574,26.936507936507937,107
"HEART OF WICKER SMALL, JUMBO BAG PINK POLKADOT",JUMBO SHOPPER VINTAGE RED PAISLEY,0.4519230769230769,0.06208425720620843,0.0014704495508424693,1.0841346153846154,9.942307692307692,63
"HEART OF WICKER SMALL, JUMBO BAG PINK POLKADOT",JUMBO STORAGE BAG SUKI,0.5595238095238095,0.06208425720620843,0.005253068268312226,1.3180425541536653,12.686746987951807,78
"HEART OF WICKER SMALL, JUMBO BAG PINK POLKADOT",NATURAL SLATE HEART CHALKBOARD ,0.4090909090909091,0.06208425720620843,0.0015205074078924257,1.063679245283019,6.71830985915493,63
"HEART OF WICKER SMALL, JUMBO BAG PINK POLKADOT, JUMBO SHOPPER VINTAGE RED PAISLEY",JUMBO BAG RED RETROSPOT,0.873015873015873,0.02539810522072163,0.004797184213035838,1.2760847807989824,29.25862068965517,55
"HEART OF WICKER SMALL, JUMBO BAG PINK POLKADOT, NATURAL SLATE HEART CHALKBOARD ",JUMBO BAG RED RETROSPOT,0.7777777777777778,0.02539810522072163,0.0023783170491575877,1.1368755319845478,29.25862068965517,49
"HEART OF WICKER SMALL, JUMBO BAG RED RETROSPOT",JUMBO BAG PINK POLKADOT,0.5153846153846153,0.10199556541019955,0.004551283116553422,1.202644909183009,12.079545454545455,107
"HEART OF WICKER SMALL, JUMBO BAG RED RETROSPOT",JUMBO SHOPPER VINTAGE RED PAISLEY,0.4380952380952381,0.10199556541019955,0.000930539806946511,1.0509625126646402,9.847619047619048,106
"HEART OF WICKER SMALL, JUMBO BAG RED RETROSPOT",JUMBO STORAGE BAG SUKI,0.4330708661417323,0.10199556541019955,0.0004382500374519722,1.0201636120271291,8.291338582677165,104
